carpeta,archivo,satt_true,satt_est,bias,mse,ci_95,ci_ancho,cobertura_ic,modelo_elegido,params_rf,params_gp,tiempo_seg
2,zymu_78747026.csv,3.772935149466115,4.098748817736691,0.3258136682705763,0.1061545464319291,[4.00367637 4.19587154],0.1921951750146835,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",158.29522824287417
2,zymu_78746936.csv,4.438785026619038,4.293389065100339,-0.145395961518699,0.021139985625947,[4.21660902 4.36853806],0.1519290367125121,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",144.2218883037567
2,zymu_78747059.csv,2.90516658626796,2.8867348419191146,-0.0184317443488453,0.0003397291997411,[2.80912283 2.97527425],0.1661514154467873,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",112.26971888542175
2,zymu_78747154.csv,5.743093732339043,6.015987897740677,0.2728941654016346,0.0744712255102546,[5.68001136 6.51595559],0.8359442354819988,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",156.32950258255005
2,zymu_78746959.csv,3.2153169025652306,2.705038725347964,-0.5102781772172666,0.2603838181441762,[2.33192159 2.98557213],0.6536505377001789,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",109.01147055625916
2,zymu_34.csv,4.679244876982741,4.715721515233378,0.0364766382506367,0.0013305451380678,[4.62975135 4.79821974],0.1684683830334403,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",108.6769518852234
2,zymu_78747237.csv,3.3887959188892287,3.439446675239523,0.0506507563502944,0.0025654991188568,[2.7250317  3.85124148],1.1262097763314665,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",159.449227809906
2,zymu_78746906.csv,3.761871053886064,3.830336720698224,0.0684656668121617,0.0046875475320339,[3.7399061  3.93551087],0.1956047628270831,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",111.1797559261322
2,zymu_78747024.csv,2.4206804897652567,2.827556696452484,0.4068762066872269,0.1655482475681869,[2.52100747 3.26190379],0.7408963158061943,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",113.89167380332948
2,zymu_78746989.csv,4.5641608628274914,4.705317721495728,0.1411568586682365,0.0199252587490845,[4.61181873 4.80610895],0.1942902198800142,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",127.21032524108888
